iter	RMSE
0	0.006093470175
1	0.005839744355
2	0.005622523194
3	0.005442341216
4	0.005259458042
5	0.005090624313
6	0.004921104366
7	0.004753944881
8	0.004602286069
9	0.004446661432
10	0.004303820331
11	0.004177528338
12	0.004025814319
13	0.00389295564
14	0.003758471984
15	0.003636152736
16	0.003527908788
17	0.003410925428
18	0.003301349372
19	0.003190991965
20	0.00310972243
21	0.003011960251
22	0.00292846447
23	0.002847711768
24	0.002762497796
25	0.002682602671
26	0.002601337594
27	0.002540265361
28	0.002473935409
29	0.002412535676
30	0.002360634537
31	0.002296620965
32	0.002241451464
33	0.002193303627
34	0.002125849976
35	0.002083118334
36	0.002036239978
37	0.001993912947
38	0.001951864429
39	0.001895325279
40	0.001849069039
41	0.001806403672
42	0.001767347024
43	0.001725620511
44	0.00168394151
45	0.001643026086
46	0.001606501202
47	0.00156638838
48	0.001531276929
49	0.001498978387
50	0.001471932985
51	0.001442232424
52	0.001414701696
53	0.001380187913
54	0.001359328097
55	0.001330413451
56	0.001309108793
57	0.001277855992
58	0.001256689292
59	0.001233050122
60	0.001206743951
61	0.001179114027
62	0.001152629095
63	0.00113675663
64	0.001114168787
65	0.001094927874
66	0.001077597877
67	0.001055544633
68	0.001034255787
69	0.001010423891
70	0.0009919075134
71	0.0009771989569
72	0.0009588453776
73	0.000947834586
74	0.0009302044046
75	0.0009144096911
76	0.0008989840299
77	0.0008861914507
78	0.0008692435145
79	0.0008523785771
80	0.00083762784
81	0.0008241799209
82	0.0008121531286
83	0.000796971608
84	0.0007862236248
85	0.0007734725711
86	0.0007601612066
87	0.0007493072481
88	0.0007378936154
89	0.000725929133
90	0.0007165092019
91	0.0007034757604
92	0.0006931200806
93	0.0006821611733
94	0.0006742440241
95	0.0006657101195
96	0.0006572672065
97	0.0006458828646
98	0.0006374460726
99	0.0006294000756
100	0.0006206974155
101	0.00060993079
102	0.0006030681952
103	0.0005973323288
104	0.0005897236694
105	0.0005809932637
106	0.0005722918647
107	0.0005653689135
108	0.0005581853959
109	0.0005523625721
110	0.0005464954878
111	0.0005414940722
112	0.0005344607118
113	0.0005311086629
114	0.0005259370751
115	0.0005208066264
116	0.0005137764763
117	0.0005082301666
118	0.0005016036377
119	0.000495390767
120	0.0004884976744
121	0.0004851940858
122	0.0004801702886
123	0.0004745301767
124	0.0004697282325
125	0.0004639926069
126	0.0004596805562
127	0.000455281603
128	0.000450290603
129	0.0004458666628
130	0.0004403776684
131	0.0004360446604
132	0.0004325342997
133	0.0004286226078
134	0.0004250878915
135	0.0004208900143
136	0.0004164004171
137	0.0004123275928
138	0.0004088389062
139	0.0004057710597
140	0.0004037333346
141	0.0004005295615
142	0.0003971544618
143	0.0003937753409
144	0.0003911114857
145	0.0003883861551
146	0.0003862348382
147	0.0003833904935
148	0.0003810871761
149	0.0003785709939
150	0.0003760103584
151	0.0003745224816
152	0.0003724112986
153	0.0003696933616
154	0.0003672205738
155	0.0003648310914
156	0.0003616694595
157	0.0003590029108
158	0.0003572954754
159	0.0003546618363
160	0.0003531935308
161	0.0003521956432
162	0.0003511606839
163	0.0003485880958
164	0.0003473342157
165	0.0003460023732
166	0.0003447298334
167	0.0003417175717
168	0.0003391536861
169	0.0003371609502
170	0.0003353233846
171	0.000334318217
172	0.0003324740297
173	0.0003301243355
174	0.0003289158364
175	0.0003280874007
176	0.0003262918335
177	0.0003254481543
178	0.0003242075811
179	0.000323131571
180	0.0003209785037
181	0.0003199162842
182	0.0003178101381
183	0.0003158169504
184	0.0003136798112
185	0.0003125011049
186	0.0003109198748
187	0.000309956537
188	0.0003085185341
189	0.0003067860928
190	0.0003048705125
191	0.0003041648908
192	0.0003028567835
193	0.0003016383278
194	0.0002997797339
195	0.0002982721574
196	0.0002966670379
197	0.0002948560932
198	0.0002937211239
199	0.0002923918282
200	0.0002915174196
201	0.0002899977776
202	0.0002882345746
203	0.0002865140049
204	0.0002853544579
205	0.0002840093111
206	0.000283322864
207	0.0002824943612
208	0.000281096106
209	0.0002801990512
210	0.0002788691887
211	0.000277946413
212	0.0002772882715
213	0.0002763774985
214	0.0002752702982
215	0.0002741891144
216	0.0002725528606
217	0.0002713785789
218	0.0002701329936
219	0.0002691329412
220	0.0002679249903
221	0.0002670051444
222	0.0002661056922
223	0.0002651744185
224	0.0002647231298
225	0.0002635807539
226	0.0002624614809
227	0.0002613213075
228	0.0002608128344
